,state,percentage
0,Alabama,0.7303992537313432
1,Alaska,0.7644199999999999
2,Arizona,0.8261333333333333
3,Arkansas,0.71933
4,California,0.8731163793103448
5,Colorado,0.79730078125
6,Connecticut,0.9068437500000001
7,Delaware,0.9214166666666667
8,District of Columbia,0.90375
9,Florida,0.7978283582089553
10,Georgia,0.7448254716981132
11,Hawaii,0.9238500000000001
12,Idaho,0.6603068181818181
13,Illinois,0.7559607843137255
14,Indiana,0.7172309782608697
15,Iowa,0.6702752525252524
16,Kansas,0.6649833333333334
17,Kentucky,0.7337208333333333
18,Louisiana,0.75433984375
19,Maine,0.808078125
20,Maryland,0.8951250000000001
21,Massachusetts,0.9186607142857143
22,Michigan,0.8044277108433735
23,Minnesota,0.6663074712643678
24,Mississippi,0.7586920731707317
25,Missouri,0.6420782608695652
26,Montana,0.5942366071428572
27,Nebraska,0.649739247311828
28,Nevada,0.8376764705882352
29,New Hampshire,0.8181499999999999
30,New Jersey,0.8968809523809524
31,New Mexico,0.8414848484848484
32,New York,0.9026491228070176
33,North Carolina,0.812705
34,North Dakota,0.5600707547169811
35,Ohio,0.7026761363636363
36,Oklahoma,0.6691688311688312
37,Oregon,0.8366180555555556
38,Pennsylvania,0.8519365671641791
39,Rhode Island,0.9263999999999999
40,South Carolina,0.7477989130434782
41,South Dakota,0.6348636363636364
42,Tennessee,0.6856526315789474
43,Texas,0.8075738188976378
44,Utah,0.7070344827586206
45,Vermont,0.8198214285714285
46,Virginia,0.8308270676691729
47,Washington,0.8517307692307693
48,West Virginia,0.7335409090909091
49,Wisconsin,0.7059305555555555
50,Wyoming,0.6111847826086957
