,state,pop
0,Alabama,5039877.0
1,Alaska,732673.0
2,Arizona,7276316.0
3,Arkansas,3025891.0
4,California,39237836.0
5,Colorado,5812069.0
6,Connecticut,3605597.0
7,Delaware,1003384.0
8,District of Columbia,670050.0
9,Florida,21781128.0
10,Georgia,10799566.0
11,Hawaii,1441553.0
12,Idaho,1900923.0
13,Illinois,12671469.0
14,Indiana,6805985.0
15,Iowa,3193079.0
16,Kansas,2934582.0
17,Kentucky,4509394.0
18,Louisiana,4624047.0
19,Maine,1372247.0
20,Maryland,6165129.0
21,Massachusetts,6984723.0
22,Michigan,10050811.0
23,Minnesota,5707390.0
24,Mississippi,2949965.0
25,Missouri,6168187.0
26,Montana,1104271.0
27,Nebraska,1963692.0
28,Nevada,3143991.0
29,New Hampshire,1388992.0
30,New Jersey,9267130.0
31,New Mexico,2115877.0
32,New York,19835913.0
33,North Carolina,10551162.0
34,North Dakota,774948.0
35,Ohio,11780017.0
36,Oklahoma,3986639.0
37,Oregon,4246155.0
38,Pennsylvania,12964056.0
39,Puerto Rico,3263584.0
40,Rhode Island,1095610.0
41,South Carolina,5190705.0
42,South Dakota,895376.0
43,Tennessee,6975218.0
44,Texas,29527941.0
45,Utah,3337975.0
46,Vermont,645570.0
47,Virginia,8642274.0
48,Washington,7738692.0
49,West Virginia,1782959.0
50,Wisconsin,5895908.0
51,Wyoming,578803.0
